word,part,definition,graphemes
lada,sj.,sj. vh sxuk subtate vt l ppicj o kap vt l kagin f yra lela. ocxy ler yra gega cxla beax.,la da
ladut,sj.,sj. vk subtate vt subteta gaeif z qrexzt.,la du t
laex,sj.,sj. lela kagi f yra vzt. dest yra vzt o qrexzt yra lela alpp.,la ex
laf,sj.,sj. ju lela.,la f
lagat,sj.,sj. qahh shlup f sjlup.,la ga t
lah,e.,e. yra tlah.,la h
lahh,sj.,sj. eizt z gudih.,la hh
lahm,sj.,sj. vh alpp z gudih cxhht z lahh.,la hm
lalba,e.,e. je ja luux rik xlio. ja je ahg.,la l ba
laliw,k.,k. subtatef kyv chsiv.,la li w
lap,sj.,sj. lah je f sjlup.,la p
lato,e.,e. tair yre lela ji vx l akydep.,la t o
lav,e.,e. 1 yre ji. ju yra hkdg. lava. lavit. 2 kap lll. sj. ahk tta lela kytu.,la v
lava,e.,e. vh giduh yk yre ji.,la v a
lavit,e.,e. l siuaa heba. tig.,la v i t
law,sj.,sj. belu gudde f yra.,la w
lbf,sj.,sj. yre vzt. am yele vzt hji. hhk kato.,l b f
leax,sj.,sj. heba f lela.,le ax
leda,sj.,sj. lela xyt f lela. kat ginger kap lqa f l wax yras kra o vs lela f gege yras bteb el ginger helu.,le da
lef,cj.,cj. ysi in exiex lela beax.,le f
lela,sj.,sj. qvq dkdg f hucher.,le la
lelad,sj.,sj. eguux dkdg o ewer ahk kyin o ahk kagi vx aie f lela.,le la d
leo,sj.,sj. yre ota lela.,le o
ler,sj.,sj. siuai hgaxi dkdg f kusxkusx gazter.,le r
ley,sj.,sj. akudep z vzte.,le y
liaax,sj.,sj. yras hucher xyt kyso f dgasir z liex.,li aa x
libux,k.,k. ehg hkdg.,li bu x
liex,sj.,sj. liuzu z guo.,li ex
ligaa,e.,e. liuzu dkdg.,li ga a
lik,k.,k. ju yra lisu kadu o yra subb kadu.,li k
likaz,e.,e. suba heba am subb beba.,li ka z
liliax,sj.,sj. yras z sxgu.,li li ax
lioin,sj.,sj. dew tata kauin qwq inxh kra.,li o in
lire,k.,k. hba deda dkdg. ju deda hhg.,li re
liso,a.,a. dest axuax yele vzt o kysi.,li s o
lisu,k.,k. lisuvai ji.,li su
lisuvai,hh.,hh. vk zucjch vt subt.,li su v ai
liu,hh.,hh. yre hucher vh yrs hucher.,li u
liuin,e.,e. kakauka eji.,li u in
liuzu,sj.,sj. vh wux ee wax. am kap vh wux ee wax.,li u zu
livai,k.,k. ubva ee lisu.,li v ai
livi,sj.,sj. helu pdep f hutl z yre lela.,li v i
lizta,sj.,sj. uxin zine dkdg el tata z lela ji.,li z ta
lizu,hh.,hh. yra zuf xyt.,li zu
lkain,k.,k. uxauxf sxgu kytu.,l ka in
lll,k.,k. kauin je hji el je bteb.,l l l
lpisx,i.,i. ysi pulihj je dkdg. yl yre kap hba taar pde z je vztu. yl ysi xamt je ji. am ahk yras kvin. l gzg ee l lav je yk ahg. je je iji.,l p i sx
lpu,q.,q. pu zkehu.,l pu
lpubal,bu.,bu. ehg hgasi deqhm.,l pu ba l
lpubel,bu.,bu. suba hgasi deqhm.,l pu be l
lpubl,bu.,bu. 1 vh siuaa vzt kysi. 2 siuaa sxresh subtet ee subtat kadu.,l pu b l
lpubul,bu.,bu. siuaa hgasi deqhm.,l pu bu l
lpupl,bu.,bu. vs ju zkehu siuaa qatub bteb.,l pu p l
lpupul,bu.,bu. subtet in subtat kysi.,l pu pu l
lqa,k.,k. vh qah dkdg.,l qa
lsa,k.,k. kat yra o je ahk je ji.,l s a
luax,a.,a. axuax lucx.,lu ax
lucx,sj.,sj. vh aohj vzt erisula ska.,lu cx
luiw,sj.,sj. subb kysi bpu el je kap lqa lpupl subb kysi f yra z qatub vh l beak z je ji bpu el je kap lqa.,lu i w
lukad,e.,e. vx akydep f luwux.,lu ka d
lukui,e.,e. vs siuaa yra kakauka el laf ee lela tuk f hutl ji.,lu ku i
lutad,e.,e. vx fgah f luwux.,lu ta d
luux,a.,a. uxaux lucx.,lu ux
luwux,e.,e. xihuhesh dkdg.,lu w ux
o,bu.,bu. ysi eeluz shlp.,o
oam,k.,k. ja je asj kat je ja asj.,o am
obai,k.,k. ley tata z je kzin vx yra.,o ba i
obasu,sj.,sj. xzt uxaux gegagu dkdg am je suja hsj. vh tata z je suja iji. ykai z je suja iji. l bebak yra ji xlio.,o ba su
ochi,i.,i. lela uku lela yk ji. aohh aohucx axt o jar ejk dku lela ji. gudih z uku lela gudih ji. gudih giduh z je kyin el kyso el shg je igf. ginger asj el dr ji.,o ch i
ocxbaf,sj.,sj. sepsi igf.,o cx ba f
ocxy,e.,e. sxi uxaux qahh dkdg.,o cx y
oer,sj.,sj. axuax hute vzt beba f yele vzt. vh ysi ykai z kaw yre ykai ji. oqr ju ykai ji.,o er
oexb,e.,e. laf ahk akydep kka kap cxs.,o ex b
oexin,sj.,sj. kap vx ppicj vh gudih bki f ging. yater z gudih.,o ex in
ogali,k.,k. ju eguux eguux kysi.,o ga li
oger,k.,k. uxaux ley cji dkdg el lqa.,o ge r
ohhs,e.,e. plahe lela belu asj. l hhk f lela belu asj.,o hh s
oing,sj.,sj. oley ging.,o in g
okaax,e.,e. gta sxuk belu dkdg.,o ka ax
oktev,sj.,sj. ket lpu el tkr f heha.,o k te v
ola,sj.,sj. vk lagat ee ladut f vinz.,o la
oley,e.,e. uxaux ley akudep.,o le y
olg,sj.,sj. guerg gerg rek f yra.,o l g
olizte,sj.,sj. kat lizta o teer dew hhk lela kytu.,o li z te
olla,e.,e. lav bteb ee qwq ji. a. lav bteb ee qvq ji. q. 1 oley akudep dust ja vztu. 2 lav bteb z je ji bteb.,o l la
olq,sj.,sj. ahk rek f qvq. jaraq gazter z yra daiu.,o l q
oly,q.,q. sxzu pehut dkdg brye in shley.,o l y
oqr,sj.,sj. hute vzt kzin f yele vzt. vh ysi ykai z kaw yre ykai ji. oer ju ykai ji.,o qr
oraux,sj.,sj. yrs gega ee aiguux z gega f gazter.,o ra ux
osh,sj.,sj. vx siuai juer siuai bett ginger dkdg f uxaux yele vzt.,o sh
osi,sj.,sj. luux aik aa luux lik f idcx.,o si
osih,sj.,sj. vh gudih f cjja sjlup.,o si h
osxh,sj.,sj. sxi rali l hhk f lela xyt.,o sx h
ota,e.,e. tata z cji ahk rek. olla.,o ta
oteb,k.,k. olla bteb. cxla vk kauin hgasi in sxresh.,o te b
ovo,sj.,sj. dust ju yra yra alpp o yra deqhm.,o v o
oyr,bu.,bu. tair subtat ji xzt tair vs subtat siuai f yra pji.,o y r
pakai,p.,p. guda lisuvai bakai pji pu.,p a ka i
palb,p.,p. alb ktap kytu lpu. eut yra pji pu.,p a l b
palw,p.,p. dest yre lela ji f ja je tku o uku ja je tku pu. ykai z ja guerg ji pu. dest guo ja rcxs o ja kytu pu. yre lela thg ja ji pu.,p a l w
pbaer,p.,p. gta belu gpu.,p ba er
pbusi,p.,p. yra subb je chsiv. xej yra ji. subb je chsiv bpu.,p bu si
pdacjch,p.,p. dest ja je rik o ehg kysi bpu.,p da cj ch
pde,sj.,sj. hba vztu f heha z yra z guo z lela in xyte lela.,p de
pdep,k.,k. vzte yra kysi. sj. vzte yra kysi.,p de p
pdepr,sj.,sj. pdep f lela in deda in heha.,p de p r
pehut,sj.,sj. lav in ehut in gude yra ji deqhm. ehg in kap ehg f gato.,p e hu t
pgappx,sj.,sj. yre pul. p kuuee.,p ga pp x
phjqle,e.,e. qah yheam kzin.,p hj q le
picj,p.,p. ppicj el je helu gpu.,p i cj
pingu,p.,p. lagat ppicj gpu o lagat kagin gpu.,p in gu
pip,a.,a. vk ja je ee vk je ja.,p i p
piras,sj.,sj. vh du kaw sxi exiex idcx z uzuini je rak. lpubul idcx z je yra rak.,p i ra s
pji,k.,k. ji in hji.,p ji
pkaer,p.,p. gta ahg dkdg gpu.,p ka er
pkager,p.,p. yre lela keka lpu.,p ka ge r
pla,k.,k. plah kazu.,p la
plaf,k.,k. qvq kytu.,p la f
plah,sj.,sj. zuf z hgaxi.,p la h
plahe,e.,e. tae gudi plah ji.,p la he
plato,sj.,sj. yl yamte ktap z je kedu f lela.,p la t o
plebz,p.,p. gebr dkdg ler zpu.,p le b z
pleh,e.,e. uxaux plah dkdg.,p le h
plia,p.,p. sxresh kysi lpu. ju lela ee lela ulia lpu.,p li a
plu,r.,r. 1 ewer beax. 2 qrexzt deqhm. deqhm deqhm.,p lu
pp,sj.,sj. dust je je olla ji o ehg je bteb f gega. gaeif z zucjch yra ji.,pp
ppby,e.,e. ahg je luux kata. kat vk yl yamte ktap kytu el hba iligt hkdg.,pp b y
ppcxli,sj.,sj. cji je kap cxli.,pp cx li
ppdhu,sj.,sj. subteta oer dust slip o ja je asx. dust ja slip o je ja asx pu.,pp d hu
pphut,sj.,sj. lav yra ji f hgasi deqhm.,pp hu t
ppicj,k.,k. ahk toy in duta f yra kyin.,pp i cj
ppjefam,e.,e. axuax iligt dkdg.,pp je f am
ppkel,e.,e. hhcx z buzpu je kap lqa. am thg je tky kat ligaa vzt ji.,pp ke l
pplali,sj.,sj. ehut uzuini ee je pji je kap lqa.,pp la li
ppscj,k.,k. ysi ppicj.,pp s cj
ppsux,k.,k. l kytu kap bek o gegagu kap kyv o l btebe kap bek.,pp su x
ppt,k.,k. suba dabu am vk uku lela subb pdep. lpubal ahk du lela ktap.,pp t
pptu,e.,e. dkdg am hhk kytu.,pp tu
pqaor,p.,p. gazter z qahh oraux ji pu.,p qa o r
pqhichkag,p.,p. qahh ppicj lpu o kaqzuli lpu.,p q h i ch ka g
prat,k.,k. suba ju yra kxat am subb yra kxat.,p ra t
pray,k.,k. qlat yra ji ishl.,p ra y
ptabe,p.,p. sxi tabe ginger kytu el ahk ktap kytu gpu.,p ta be
ptap,sj.,sj. ging ahk lela rak f deda.,p ta p
pu,q.,q. kap shpuli pul kyv f gega.,pu
puaxer,sj.,sj. liuzu dkdg o hhk rink f sjlup.,pu ax er
puel,sj.,sj. kat aohucx axt kadu o yra laf sxi inlt asj.,pu e l
pugin,sj.,sj. pptu f ging.,pu g in
pukudep,p.,p. kakauka l bki ee l dyt ji pu. sxde qahh hji pu. kap vzte l kusxkusx ji pu.,pu ku de p
pul,sj.,sj. 1 kap shpuli f qvq kyv f eeluz. 2 ubva pdep f kap shpuli f qvq.,pu l
pulihj,sj.,sj. kat yra o qlat vk brye ji.,pu li hj
pulisu,p.,p. ja kadu spu. ja je rik lpu. puaxer subt lisuvai ji.,pu li su
pulupu,sj.,sj. xyte yre am liuin ji.,pu lu pu
putel,e.,e. pul ee qlate kzin.,pu te l
pvbe,p.,p. je ubva je kyin lpu.,p v be
pvhaf,sj.,sj. halq in ppjefam f yra hgasi.,p v h a f
pvja,p.,p. ja kadu spu. dast plato je tku o ulio pu.,p v ja
pvlib,p.,p. ju yra je belu am yra helu gpu.,p v li b
pvtat,e.,e. sxi taar subtat eji el je lqa. yra je brye lpubl brxe.,p v ta t
pxaji,p.,p. vh ash je lisuvai kax gpu.,p x a ji
pxubi,p.,p. bipu ee xux je dew akudep gpu.,p x u b i
qah,sj.,sj. qvq kysi f yra z guo.,qa h
qahh,sj.,sj. qahhi yra.,qa hh
qahhi,e.,e. luwux juya ji.,qa hh i
qahu,sj.,sj. vh qah l uku.,qa hu
qahx,e.,e. kap luwux juya ji.,qa h x
qaote,sj.,sj. cjja in cjje yra z gudih ji f pdepr.,qa o te
qaq,sj.,sj. vzta hucher.,qa q
qari,e.,e. yater xyt.,qa r i
qatub,sj.,sj. kyin vx kalao f qaq.,qa tu b
qelutx,e.,e. kovd f akudep.,qe lu t x
qewre,e.,e. 1 vk ju ja ging dkdg. 2 ewer ahk kyin.,qe w re
qhh,sj.,sj. pdepr bteb kyin.,q hh
qlad,e.,e. vh uxaux hutl ee uxauxf yela ahk kytu el yra kyso.,q la d
qlah,sj.,sj. qahh z lada.,q la h
qlat,hh.,hh. sxk ehut vk gudde ji.,q la t
qlate,sj.,sj. qlat sxresh.,q la te
qlrga,sj.,sj. ligaa je ji. ju yra ahk je kytu am yra hhk. tair jel yk ji o kauin hji.,q l r ga
qrexzt,sj.,sj. 1 beba ging. 2 ja ee je uxi beba f akudep.,qr ex z t
qrfda,e.,e. suba kaish.,qr f da
qrfde,e.,e. kap kusxkusx. aokasx vzte deda. a. subb kytu.,qr f de
qrfdu,e.,e. yra ji o ju dku yra hji. yra hgasi bteb.,qr f du
qrinaa,sj.,sj. vk zhlut f dyt. zlut keka f kyv.,qr in aa
qvdedein,sj.,sj. hgasi z qvq in akudep kyv f gega. q kuuee.,q v de de in
qvq,sj.,sj. kap vzte f kyv.,q v q
qwq,sj.,sj. sxgu z qvq.,q w q
rah,k.,k. riju suba ji am qahhi subb ji.,ra h
rahhr,e.,e. belu jajije.,ra hh r
raiko,k.,k. ja je rik. liuzu z zhlut kytu.,ra i k o
rak,k.,k. dkdger kyin.,ra k
rake,k.,k. yk yra z cji yra kyao.,ra ke
rali,e.,e. yre hgasi yra dkdg kka yra belu je asj.,ra li
ralio,e.,e. rali egg aoer ee guo ji.,ra li o
rasib,e.,e. lav guo hji. uxaux ykai dkdg. sxgu hkdg.,ra si b
ratazee,e.,e. exiex iligt ahk aoliga.,ra ta z ee
ratazu,e.,e. uxaux iligt dkdg. belu blit f dku deda ahk blit.,ra ta zu
ratuh,e.,e. deqa lela belu jajije. am kap taber yra ji el je lqa.,ra tu h
rau,q.,q. rali uzuini ji xlio.,ra u
rauizi,e.,e. uzuini je asx vs sxi uxaux.,ra u i z i
rcxs,k.,k. suba dkdg am subb hkdg.,r cx s
reehj,sj.,sj. xihuhesh hkdg f hgasi. e. xihuhesh hkdg.,re e hj
rek,k.,k. vk ju dkdger vt dkdger rik.,re k
reuizi,sj.,sj. l kshp uzuini asx.,re u i z i
riju,e.,e. kap lqa.,r i ju
rik,k.,k. vk ju yra vt yra ska.,r i k
rink,k.,k. 1 vk wax vt wux ska. 2 ykai z ju yra yra kyin.,r in k
rlifska,k.,k. lef taga. oley je ji.,r li f s ka
rpqata,sj.,sj. vzt in sjlup in hgasi beax f gega. r kuuee.,r p qa ta
rqada,k.,k. ju yra yra chha aa kysi f yra akydep.,r qa da
rqr,k.,k. obai aa vk sxi taar yra kytu.,r qr
rsisu,e.,e. kauin ji ee vk xhjr ji.,r si su
ruk,k.,k. vk yra hkdg.,r u k
sage,sj.,sj. sasih z ginger.,s a ge
sagr,sj.,sj. ging kzin f saqr.,s a g r
saig,sj.,sj. kat xlag xhjlp o hhk ppicj.,s ai g
saoled,sj.,sj. yre taguqr. dudi kabu.,s ao le d
saqr,sj.,sj. vh uxauxf cjje sjlup z gudih o vh cjja sxgu z gudih f ahk inlt ska f vztel deda.,s a qr
sasih,sj.,sj. sxzu saqr dkdg f sjlup.,s a si h
sepsi,sj.,sj. uxaux riju ging dkdg f sjlup.,s e p si
shcxa,e.,e. luwux vh qah yra ji.,sh cx a
shg,k.,k. helu je kytu am taar in tair yra ji.,sh g
shlap,k.,k. eje ee je ee aje uxi igf.,sh la p
shley,e.,e. ley z ja. k. ahk sxresh gudde el plaf.,sh le y
shlp,k.,k. 1 vk yre guo ju yra ee yra kysi. 2 vk yre ging ysi ging kytu.,sh l p
shlup,k.,k. siuaa hgasi dkdg f uxaux hucher chha.,sh lu p
shpuli,e.,e. qrfda vh qvq ji.,sh pu li
shpzt,sj.,sj. xlau upelip ji. ejlip hhg kat l toy yra yk ji. yrs lela subb kahmt. yrs deda subb kaxt. hhg chsiv o kshp o bebak.,sh p z t
shtu,k.,k. dust sxi uxaux amsht ji o amx kysi.,sh tu
shuzin,e.,e. igubl je akudep kat je uzuini asx el je lqa. xamt je ji el zju kap pray. gta z je uzuini eji aozh je igf.,sh u z in
sijia,k.,k. shcxa riju kyin. rah.,si ji a
siuaa,hh.,hh. ju yra yra ji. kap kakauka. q. lpubl.,si u aa
siuai,e.,e. siuaa xyt.,si u ai
sjaap,sj.,sj. tta guo o yre hutl ji f sjlup.,sj aa p
sjam,sj.,sj. egaxi suba ji am subb hji f yra.,sj am
sjamhe,sj.,sj. yre uxauxf kazuqr. vt yra uzuini ji.,sj am he
sjdr,sj.,sj. hucher deqhm f gega. sj kuuee.,sj d r
sjeep,sj.,sj. cxsi sjlup.,sj ee p
sjip,sj.,sj. slip f sjlup.,sj i p
sjlip,e.,e. vh guo ging luux xhmt ska.,sj li p
sjlup,sj.,sj. ahk ging kadu f yra.,sj lu p
ska,k.,k. exate kytu.,s ka
slip,k.,k. vk husj wah qah rink.,s li p
sokqt,sj.,sj. gerg z plato.,s o k q t
spu,q.,q. pu sjlup.,s pu
steam,sj.,sj. ktap blit f sjlup.,s te am
sub,a.,a. vh yre vzt ju sxresh ee sxresh kytu.,su b
suba,k.,k. vh subteta kyv.,su ba
subb,k.,k. subt kyv.,su b b
subi,e.,e. qrfde beba f vzt.,su b i
subt,sj.,sj. kap subteta ee kap subtate. hh. kap vh subteta ee kap vh subtate.,su b t
subtat,sj.,sj. subtate lela in deda in sxresh in hgasi.,su b ta t
subtate,e.,e. zucjch tlah.,su b ta te
subtatef,hh.,hh. hgasi z subtat dkdg.,su b ta te f
subtet,sj.,sj. subteta lela in deda in sxresh in hgasi.,su b te t
subteta,e.,e. alpp tlah.,su b te ta
subtetaf,hh.,hh. hgasi z subtet dkdg.,su b te ta f
suerr,e.,e. beba in heba deqhm. k. beba in heba. sj. hgasi z beba in heba deqhm.,su er r
sui,a.,a. suba ishl.,su i
suja,sj.,sj. ja suba ji f lela.,su ja
suk,k.,k. sxi axuax kytu.,su k
suras,sj.,sj. uku suja je lsa. rali yras ji. taer l asj am l hhk ji. yras je asj.,su ra s
sutb,k.,k. subt suerr.,su t b
suzao,sj.,sj. yre ler z idcx huji ji. je atek o igebl ji ahk el yras tuk kyso.,su z ao
suzub,sj.,sj. bipu akudep kat sxi uami subb je kyin. lpupl eje subb xhjr.,su zu b
sxde,sj.,sj. zine z gudih byta f hjchai sjlup z deda in lela.,sx de
sxgu,sj.,sj. 1 yras z guo. 2 shlp f yra.,sx gu
sxh,sj.,sj. hgasi kytu el pdep f yra pdepr.,sx h
sxi,r.,r. yra kytu vx vh subtate eguux.,sx i
sxk,hh.,hh. 1 sxuk axuax deqhm. 2 yk yra beax.,sx k
sxqa,e.,e. plu kakauka ju yras vh ladut yras beax. cjdahh xihuhesh ju yras ee yras dkdg.,sx qa
sxr,sj.,sj. vk tkr f ahg tku f yra.,sx r
sxresh,sj.,sj. vh vzt ee sjlup kysi f yra.,sx re sh
sxuk,a.,a. uxauxf uxaux in axuaxf axuax dkdg.,sx u k
sxvz,e.,e. vh wax z liuzu z qahu z lela sxresh kysi.,sx v z
sxzu,hh.,hh. sxuk uxaux deqhm.,sx zu
sxzug,sj.,sj. suba bki o ahk kzin f yra.,sx zu g
taar,e.,e. uxaux ging dkdg. kap kauin.,ta a r
taare,sj.,sj. taar ji el yras lela ishl.,ta a re
tabe,e.,e. vt tata vda.,ta be
taber,sj.,sj. vt wux z tata belu f yra.,ta be r
tabir,hh.,hh. vt wux z tata belu.,ta b i r
tacx,k.,k. vk lela kyv.,ta cx
tade,sj.,sj. thg el ehg kysi f yra kysi.,ta de
tae,q.,q. isiga bteb.,ta e
tael,e.,e. ehg kysi f yra el lela lqa dr o ehg kysi f yra dr dsu.,ta e l
taer,e.,e. sxzu taar.,ta er
taga,k.,k. ju lela lela gatira. lisuvai utei el ysi lela brye.,ta ga
tagai,k.,k. pip pdepr ysi kyin.,ta ga i
taguqr,sj.,sj. uxaux kazuqr kadu f uxauxf sjlup. siuai jaraq vh yra ginger dkdg. yre geib yra dkdg.,ta gu qr
tair,e.,e. 1 taar ji kat yra yamte kyin. 2 kat taber yra ji.,ta i r
tala,sj.,sj. taber ji el uku ginger kaoee f hucher.,ta la
talir,hh.,hh. kat sxzu ezugad yra ji.,ta li r
tare,k.,k. kali kap vx kaqzuli.,ta re
tata,sj.,sj. ging z ging o ja z je.,ta ta
tatute,sj.,sj. riju juya qah kzin vx kakauka jaraq.,ta tu te
teasx,sj.,sj. ja je asx. vs ja uzuini je alpi deqh. taar dr hji. gta z je ubva zju hji. vs ja zju kap shg je deqh.,te a sx
teer,e.,e. taer o sxi taar hhk.,te er
tehu,k.,k. ehut lav kyin.,te hu
teshqr,sj.,sj. yras qvq z yras ginger.,te sh qr
tetekapu,e.,e. ging hkdg.,te te ka pu
tetyl,sj.,sj. guo z cji ee teer guo byta kyso f pul.,te t y l
tgein,sj.,sj. siuai el ju lela lela raiko o jahuzu jehuzu raiko ji f yra cxhht.,t ge in
thg,k.,k. ju cxhht hkdg.,t h g
tig,e.,e. kakauka vs uxaux siuai yra ji.,t i g
tite,k.,k. taar ji el lela ishl.,t i te
tji,k.,k. ji vx law gudde.,t ji
tjuk,k.,k. kat l kysi o ju yra kyin.,t ju k
tkr,k.,k. pul suba ji am subb hji.,t k r
tku,k.,k. suba kap lqa am vx law subb tky.,t ku
tky,k.,k. gudi suba hji am subb ji.,t k y
tla,k.,k. qah ubva kadu.,t la
tlah,k.,k. aohjg yra kabu.,t la h
toy,k.,k. vk beba thg dkdg aa duta.,t o y
tre,k.,k. ysi dkdg.,t re
trk,k.,k. vk daf rak yra ruk.,t r k
tru,k.,k. pul yra ji ishl. pul bteb.,t r u
tsar,sj.,sj. uku l tair.,t s a r
tsis,e.,e. dust ja ginger asj el je lqa o kauin je akudep.,t si s
tssi,e.,e. kap hurer.,t s si
tta,e.,e. lela in deda in heha in kyv hkdg.,t ta
tuk,k.,k. juya idcx kyin.,tu k
tuzt,k.,k. pdep vzte kytu.,tu z t
uami,e.,e. uxaux amsht je ji el je in laf ishl.,u am i
ubei,k.,k. pip btebr kyin.,u be i
ubtek,i.,i. je belu bpu. gta pu. xta pu. gta je oly belu am qlat gta ji o l vtek je ahg. thg je vtek. je ehg eja rik el je lqa.,u b te k
ubva,k.,k. suba ji o subb yre ji.,u b v a
ugai,e.,e. vh uxaux vzt ahk airli.,u ga i
ugay,k.,k. l beak kap bebak aohh qlat l beak ji.,u ga y
uiah,sj.,sj. belu utu lela rake f qahh.,u i a h
uji,k.,k. uku ji.,u ji
ukaji,k.,k. wux kadu.,u ka ji
ukalig,sj.,sj. vh yra jaraq dkdg f axdacj kakauka iligt klu lpu f l ishl ji.,u ka li g
uku,hh.,hh. du yra ukaji.,u ku
ulas,sj.,sj. vt huter f rali.,u la s
ulia,k.,k. yl yre ulilu.,u li a
uligt,sj.,sj. hba iligt.,u li g t
ulilu,k.,k. pip pdepr kyin.,u li lu
ulio,k.,k. subtatef olla gta ulilu.,u li o
ulu,e.,e. vh l uku f yras in yra.,u lu
upelip,sj.,sj. ahsh hhk kxat. uxaux pehut kka sjlip akudep.,u p e li p
ushhm,i.,i. yra z guo sxgu ji lpubel yra z eguux buk ji.,u sh hm
utal,hh.,hh. ahk yk yra liu lela kytu in yk yra liu lela dkdg.,u ta l
utei,k.,k. siuaa sjlup kadu.,u te i
uttasiv,i.,i. vh cxlia oraux sasih ee kazuqr ee cxhht dabi.,u t ta si v
utu,e.,e. vh l uku f uxauxf yras.,u tu
uxaux,hh.,hh. kap axuax. zuf bteb.,ux a ux
uxauxf,e.,e. hgasi z l uxaux dkdg.,ux a ux f
uxi,a.,a. yre sxresh ja ee je kadu.,ux i
uxin,a.,a. hhk sxi uxaux.,ux in
uxipu,e.,e. uxaux lela uxi dkdg.,ux i pu
uxlaz,k.,k. ging rak.,ux la z
uxligt,sj.,sj. uxaux pul ahk uxaux iligt tkr.,ux li g t
uxlix,sj.,sj. xux lela inlt kyso. uxaux ahg kali f yras iji.,ux li x
uxqaxi,sj.,sj. vk ehu pip asj f lef o exiex qlate vh gtin inasi kyin f cxhht dkdg.,ux qa x i
uxtre,sj.,sj. vs uzuini byta o ycx kakakaw uxaux amsht z je ji. axuax xux yra xyt.,ux t re
uzuini,sj.,sj. vh sjamhe yra je ulilu. sxuk rali yra ji. vh l ulia yra je asx. am dutipp jef ji kat sjamhe yra aiqr o cxqku je aiqr.,u zu in i
uzulip,e.,e. vh tgein sjlip je ji.,u zu li p
uzuz,e.,e. riju ging tata z je kzin kka l dku je kap lqa xyt.,u zu z
vda,k.,k. kyv qvq kyin.,v da
vdasi,i.,i. yre ler ulas l achai ji. vk ja f zhlut achei ji. vk giduh ee gudih f uku achei ja ji.,v da si
vgahk,sj.,sj. igubl lela akudep f sjlup.,v ga h k
vh,r.,r. vzt in sjlup beax.,v h
vhhba,sj.,sj. hhk f sjlup.,v hh ba
vhsut,a.,a. vh yele vzt.,v h su t
vinz,sj.,sj. l lqa ee l dvt.,v in z
vk,r.,r. 1 ja beax. 2 qrexzt beax. 3 subtatef vzt in sjlup beax. 4 l subteta z kytu kadu o sjdr kytu kyin. 5 l subteta z kytu kadu o kytu vda deqhm.,v k
vlsa,e.,e. tair yra ji el hezt el uku aige heze dkdg.,v l s a
vlzu,sj.,sj. yater kyin f lela. gaga alp f lela.,v l zu
vpu,q.,q. pu vzt.,v pu
vr,r.,r. l wux z bteb subtet hadu.,v r
vrtu,k.,k. vh qah tata z laf pdep.,v r tu
vs,r.,r. xihuhesh deqhm.,v s
vst,r.,r. vs tta.,v s t
vt,r.,r. subtetaf vzt in sjlup beax.,v t
vtek,k.,k. vk atek ysa plaf.,v te k
vx,r.,r. subtet kytu kat subtat. dew vh eeluz sxuk subteta ahk yra kadu.,v x
vzt,sj.,sj. guo z ging.,v z t
vzta,e.,e. hgasi z vzt dkdg.,v z ta
vzte,sj.,sj. guo z vzt. e. ahk pdep. a. vztu deqhm.,v z te
vztel,e.,e. inlt vztu. q. inlt tku.,v z te l
vzti,a.,a. yra ahk bteb am hezte kap thg ji.,v z t i
vztu,k.,k. vh qah yra pdep.,v z tu
wah,a.,a. kap ukaji.,w a h
wao,e.,e. oley akudep vx ju lela.,w ao
wax,e.,e. liuzu pdepr ee btebr dkdg. sj. dust liuzu ja ee je dkdg o je kadu f sjlup.,w ax
wbai,e.,e. uxaux vzt dkdg.,w ba i
wchaa,i.,i. osi ja hadu. vzt ja kap kedu am kazu. vzt z ladut ja keka. guo z qrinaa ja ji. zlut l ska z ja bik.,w ch aa
wchi,i.,i. vk lela wsir huji ji. kauin huji ji o vx l hhk z jef yras hhk jef rcxs el lela ishl. plahe lap lela belu. am riju yras rcxs el l pla hji o yras lqa ji.,w ch i
wcxd,i.,i. guerg gerg dkdg lpubul gerg guerg dkdg. l xhjr uku ginger dvt aa plaf. l xhjr l plaf bki. vh giduh ginger yre lela tji. l beak z yra vk gerg vt guerg ji.,w cx d
wder,sj.,sj. vk zkehu pdep f aige zuf z vzt ee sjlup ee lela ee deda tky f gaeif.,w de r
wduhba,i.,i. yl yre kaw z alaw subtate kaw ji. kap bezt aohh ppjefam. dust l bebak je dyt o igubl je akudep. subi giduh z je je obai.,w du h ba
werd,sj.,sj. dew uxaux vzt je dkdg am yras hhk kzu.,w er d
weruo,i.,i. xlag kap inlt akudep f guo plahe guo ji. aie helu yra hji. ley z laf dyt ji. qahh hhk el ley z laf cht kyin. rqr ahk.,w er u o
werx,k.,k. kap ubva klu am subb ruk.,w er x
wgaba,i.,i. lagat olla ja kap uji. uxin plahe qahh hji. aka ykai z qahh ji. zhlut ja kap uji. l wax z je exiex qvq kadu. dest je xhjr o ja beba vs ykai z lagat.,w ga ba
wgagg,i.,i. vs zuf z ginger axuax rali axgg ji. guo l rali kap yk kedu o tata kedu. rali lela du lela asj o gta shg du lela dkdg. vztel rali lela ehu gta z du lela ji. rali lela ahk gta z rali lela ji. rali ejk du lela ji vx atek ee gaint. gta z rali lela gin deqh.,w ga g g
